PROGRAMA;CURSO;DISCIPLINA;AACSB;EQUIS;AMBA;ABET
GRADUACAO;ADMINISTRAÇÃO;GRADM_201662_0002 - FINANÇAS III                                          ;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADM_201662_0002 - FINANÇAS III                                          ;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADM_201662_0002 - FINANÇAS III                                          ;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADM_201662_0002 - FINANÇAS III                                          ;SIM;SIM;NÃO;NÃO
PGSS;MESTRADO PROFISSIONAL EM ECONOMIA;MPEMA_202431_09 - MENSURAÇÃO DE RISCO FINANCEIRO;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_005 - IMPACTING;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_005 - IMPACTING;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_005 - IMPACTING;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_005 - IMPACTING;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_201362_0087 - ECONOMETRIA;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_201362_0087 - ECONOMETRIA;SIM;SIM;NÃO;NÃO
PGSS;MESTRADO PROFISSIONAL EM ADMINISTRAÇÃO;MPA_202233_005 - ANÁLISE AVANÇADA DE INFORMAÇÕES;SIM;SIM;NÃO;NÃO
PGSS;MESTRADO PROFISSIONAL EM ECONOMIA;MPEMA_20231_006 - ECONOMETRIA;SIM;SIM;NÃO;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202031_002 - MÉTODOS QUANTITATIVOS PARA TOMADA DE DECISÃO;SIM;SIM;SIM;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;LLC_202231_001 - OPERAÇÕES SOCIETÁRIAS TÍPICAS NA REORGANIZAÇÃO DE ATIVOS;NÃO;NÃO;NÃO;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;LLC_202231_001 - OPERAÇÕES SOCIETÁRIAS TÍPICAS NA REORGANIZAÇÃO DE ATIVOS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO EMPRESARIAL;LLMDEMP_202631_007 - OPERAÇÕES SOCIETÁRIAS (M&A);NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_003 - FINANÇAS CORPORATIVAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_003 - FINANÇAS CORPORATIVAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - REGULAÇÃO DO MERCADO DE CAPITAIS E INOVAÇÃO FINANCEIRA;LLMRMCIF_202534_002 - FINANÇAS CORPORATIVAS E VALUATION;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202032_010 - CONTABILIDADE E ANÁLISE DE DFs;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202032_010 - CONTABILIDADE E ANÁLISE DE DFs;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_003 - FINANÇAS CORPORATIVAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202032_010 - CONTABILIDADE E ANÁLISE DE DFs;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_003 - FINANÇAS CORPORATIVAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202032_010 - CONTABILIDADE E ANÁLISE DE DFs;NÃO;NÃO;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_201662_0005 - DIREITO E ECONOMIA DAS POLÍTICAS PÚBLICAS                                              ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRADMECO_202661_0006 - ECONOMIA URBANA;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_201662_0005 - DIREITO E ECONOMIA DAS POLÍTICAS PÚBLICAS                                              ;SIM;SIM;NÃO;NÃO
PGSS;MESTRADO PROFISSIONAL EM POLÍTICAS PÚBLICAS;MPP_201931_001 - ORÇAMENTO E FINANÇAS PÚBLICAS;SIM;SIM;NÃO;NÃO
PGSS;MESTRADO PROFISSIONAL EM POLÍTICAS PÚBLICAS;MPP_201931_032 - DADOS E POLÍTICA URBANA;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_200762_0195 - ECONOMETRIA AVANÇADA;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_201662_0004 - MICROECONOMIA IV                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS;GRECO_201662_0004 - MICROECONOMIA IV                                             ;SIM;SIM;NÃO;NÃO
